"","Species","Class","Group","SpeciesProportion"
"1","Carcharodon carcharias","Chondrichthyes","Fish",0.040625
"2","Ceratoscopelus townsendi","Actinopteri","Fish",0.040625
"3","Clupea pallasii","Actinopteri","Fish",0.040625
"4","Diogenichthys atlanticus","Actinopteri","Fish",0.040625
"5","Engraulis mordax","Actinopteri","Fish",0.040625
"6","Hippoglossus stenolepis","Actinopteri","Fish",0.040625
"7","Leuroglossus stilbius","Actinopteri","Fish",0.040625
"8","Merluccius productus","Actinopteri","Fish",0.040625
"9","Oncorhynchus nerka","Actinopteri","Fish",0.040625
"10","Oncorhynchus tshawytscha","Actinopteri","Fish",0.040625
"11","Sardinops sagax","Actinopteri","Fish",0.040625
"12","Thaleichthys pacificus","Actinopteri","Fish",0.040625
"13","Trachurus symmetricus","Actinopteri","Fish",0.040625
"14","Phocoena phocoena","Mammalia","Mammal",0.00357142857142857
"15","Orcinus orca","Mammalia","Mammal",0.00357142857142857
"16","Balaenoptera acutorostrata","Mammalia","Mammal",0.00357142857142857
"17","Phocoenoides dalli","Mammalia","Mammal",0.00357142857142857
"18","Grampus griseus","Mammalia","Mammal",0.00357142857142857
"19","Balaenoptera musculus","Mammalia","Mammal",0.00357142857142857
"20","Balaenoptera physalus","Mammalia","Mammal",0.00357142857142857
"21","Megaptera novaeangliae","Mammalia","Mammal",0.00357142857142857
"22","Delphinus delphis","Mammalia","Mammal",0.00357142857142857
"23","Physeter catodon","Mammalia","Mammal",0.00357142857142857
"24","Ziphius cavirostris","Mammalia","Mammal",0.00357142857142857
"25","Mesoplodon densirostris","Mammalia","Mammal",0.00357142857142857
"26","Globicephala macrorhynchus","Mammalia","Mammal",0.00357142857142857
"27","Peponocephala electra","Mammalia","Mammal",0.00357142857142857
"28","Cranchiidae sp","Cephalopoda","Ceph",0.05
"29","Gonatus onyx","Cephalopoda","Ceph",0.05
"30","Histioteuthis heteropsis","Cephalopoda","Ceph",0.05
"31","Loligo opalescens","Cephalopoda","Ceph",0.05
"32","Octopoteuthis deletron","Cephalopoda","Ceph",0.05
"33","Onykia robusta","Cephalopoda","Ceph",0.05
"34","Euphausia pacifica","Malacostraca","Fish",0.040625
"35","Thysanoessa spinifera","Malacostraca","Fish",0.040625
"36","Nematoscelis difficilis","Malacostraca","Fish",0.040625
